epsilon,shokri_mi_adv,attack_adv,tpr,fpr,run,dimensions,mechanism
0.5,0.19230769230769235,0.5925925925925926,[0.         0.61538462 1.        ],[0.         0.42307692 1.        ],24,2,nd-laplace-optimal-truncated
0.5,0.07692307692307698,0.5333333333333334,[0.         0.61538462 1.        ],[0.         0.53846154 1.        ],25,2,nd-laplace-optimal-truncated
0.5,0.49999999999999994,0.696969696969697,[0.         0.88461538 1.        ],[0.         0.38461538 1.        ],26,2,nd-laplace-optimal-truncated
0.5,0.1923076923076923,0.5862068965517241,[0.         0.65384615 1.        ],[0.         0.46153846 1.        ],27,2,nd-laplace-optimal-truncated
0.5,0.23076923076923078,0.6071428571428572,[0.         0.65384615 1.        ],[0.         0.42307692 1.        ],28,2,nd-laplace-optimal-truncated
0.5,0.07692307692307693,0.55,[0.         0.42307692 1.        ],[0.         0.34615385 1.        ],29,2,nd-laplace-optimal-truncated
0.5,0.46153846153846156,0.7000000000000001,[0.         0.80769231 1.        ],[0.         0.34615385 1.        ],30,2,nd-laplace-optimal-truncated
0.5,0.3846153846153846,0.6923076923076923,[0.         0.69230769 1.        ],[0.         0.30769231 1.        ],31,2,nd-laplace-optimal-truncated
0.5,0.15384615384615385,0.5588235294117647,[0.         0.73076923 1.        ],[0.         0.57692308 1.        ],32,2,nd-laplace-optimal-truncated
0.5,0.1923076923076924,0.5714285714285714,[0.         0.76923077 1.        ],[0.         0.57692308 1.        ],33,2,nd-laplace-optimal-truncated
0.5,0.5,0.7241379310344828,[0.         0.80769231 1.        ],[0.         0.30769231 1.        ],34,2,nd-laplace-optimal-truncated
0.5,0.19230769230769224,0.6,[0.         0.57692308 1.        ],[0.         0.38461538 1.        ],35,2,nd-laplace-optimal-truncated
0.5,0.07692307692307698,0.5333333333333334,[0.         0.61538462 1.        ],[0.         0.53846154 1.        ],36,2,nd-laplace-optimal-truncated
0.5,0.1923076923076924,0.5714285714285714,[0.         0.76923077 1.        ],[0.         0.57692308 1.        ],37,2,nd-laplace-optimal-truncated
0.5,0.1538461538461538,0.5769230769230769,[0.         0.57692308 1.        ],[0.         0.42307692 1.        ],38,2,nd-laplace-optimal-truncated
0.5,0.038461538461538436,0.52,[0.  0.5 1. ],[0.         0.46153846 1.        ],39,2,nd-laplace-optimal-truncated
0.5,0.38461538461538464,0.65625,[0.         0.80769231 1.        ],[0.         0.42307692 1.        ],40,2,nd-laplace-optimal-truncated
0.5,-0.15384615384615385,0.42857142857142855,[0.         0.46153846 1.        ],[0.         0.61538462 1.        ],41,2,nd-laplace-optimal-truncated
0.5,0.11538461538461542,0.5714285714285714,[0.         0.46153846 1.        ],[0.         0.34615385 1.        ],42,2,nd-laplace-optimal-truncated
0.5,0.38461538461538464,0.7272727272727272,[0.         0.61538462 1.        ],[0.         0.23076923 1.        ],43,2,nd-laplace-optimal-truncated
0.5,0.5769230769230769,0.894736842105263,[0.         0.65384615 1.        ],[0.         0.07692308 1.        ],44,2,nd-laplace-optimal-truncated
0.5,0.26923076923076916,0.5897435897435898,[0.         0.88461538 1.        ],[0.         0.61538462 1.        ],45,2,nd-laplace-optimal-truncated
0.5,0.15384615384615385,0.5625,[0.         0.69230769 1.        ],[0.         0.53846154 1.        ],46,2,nd-laplace-optimal-truncated
